questionId,optionId,dimensionCode,subdimensionCode,variantType,primarySignal,secondarySignals,primaryAxisContribution,secondaryAxisModifiers,signalStrength,confidenceBand,sensitivityHandling,reviewRouting,crossFamilyHandling,safetyNotes,correctionNotes
Q045,B,AR,AR_RESTART,reflection_revisit,small_start,"social_modulation, later_review, self_observation_strength","[awareness_reflection_axis, social_context_modulation_axis] + [rhythm_structure_axis, social_distance_axis, awareness_reflection_axis, action_entry_axis]",small_start: cross-family primary exception bounded by AR_RESTART source context; does not create independent rhythm_daily_flow conclusion; social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion; later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion; self_observation_strength: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_low,needs_review,source_bounded_cross_family_primary,no_reply_or_contact_advice; no_maturity_superiority_fixed_identity_or_compliance_framing; source_context_content_axis_required; sourceContextContentAxis_preserved; no_independent_cross_dimension_score,cross-family containment note added
Q045,C,AR,AR_RESTART,reflection_revisit,restart_by_reframe,"later_review, self_observation_strength","[awareness_reflection_axis] + [action_entry_axis, awareness_reflection_axis]",later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion; self_observation_strength: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_maturity_superiority_fixed_identity_or_compliance_framing,unchanged
Q045,D,AR,AR_RESTART,reflection_revisit,social_start_support,"social_modulation, later_review, self_observation_strength","[awareness_reflection_axis, social_context_modulation_axis] + [action_entry_axis, social_distance_axis, awareness_reflection_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion; later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion; self_observation_strength: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_reply_or_contact_advice; no_maturity_superiority_fixed_identity_or_compliance_framing,unchanged
Q045,E,AR,AR_RESTART,reflection_revisit,continuation_reentry,"later_review, self_observation_strength","[awareness_reflection_axis] + [action_entry_axis, awareness_reflection_axis]",later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion; self_observation_strength: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_maturity_superiority_fixed_identity_or_compliance_framing,unchanged
Q046,A,EL,EL_INNER_WEIGHT,core_behavior,inner_weight_accumulation,none,[baseline_tendency_axis] + [emotional_load_axis],none,3,H,private_medium,needs_human_review_sensitive,native_source_contribution,non_clinical_emotional_load_boundary; privacy_routing_not_severity; sensitivity_not_severity,unchanged
Q046,B,EL,EL_INNER_WEIGHT,core_behavior,unclear_load,inner_weight_accumulation,[baseline_tendency_axis] + [emotional_load_axis],modifier_only: inner_weight_accumulation,3,H,private_medium,needs_review,native_source_contribution,non_clinical_emotional_load_boundary; privacy_routing_not_severity; sensitivity_not_severity,"reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q046,C,EL,EL_INNER_WEIGHT,core_behavior,social_load_residue,"social_modulation, inner_weight_accumulation, later_review","[baseline_tendency_axis, social_context_modulation_axis, awareness_reflection_axis] + [emotional_load_axis, social_distance_axis, awareness_reflection_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion; later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion,3,M,private_medium,needs_human_review_sensitive,modifier_only,non_clinical_emotional_load_boundary; no_reply_or_contact_advice; no_maturity_superiority_fixed_identity_or_compliance_framing; privacy_routing_not_severity; sensitivity_not_severity; confidence_not_intensity,confidenceBand decoupled from signalStrength: H -> M
Q046,D,EL,EL_INNER_WEIGHT,core_behavior,quiet_reset_need,none,[baseline_tendency_axis] + [emotional_load_axis],none,3,M,private_medium,needs_review,native_source_contribution,non_clinical_emotional_load_boundary; no_therapy_or_wellness_prescription; privacy_routing_not_severity; sensitivity_not_severity; confidence_not_intensity,"confidenceBand decoupled from signalStrength: H -> M; reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q046,E,EL,EL_INNER_WEIGHT,core_behavior,delayed_notice,"inner_weight_accumulation, later_review","[baseline_tendency_axis, awareness_reflection_axis] + [awareness_reflection_axis, emotional_load_axis]",delayed_notice: cross-family primary exception bounded by EL_INNER_WEIGHT source context; does not create independent self_observation conclusion; later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_medium,needs_review,source_bounded_cross_family_primary,non_clinical_emotional_load_boundary; no_maturity_superiority_fixed_identity_or_compliance_framing; source_context_content_axis_required; privacy_routing_not_severity; sourceContextContentAxis_preserved; no_independent_cross_dimension_score; sensitivity_not_severity,"cross-family containment note added; reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q047,A,EL,EL_INNER_WEIGHT,scenario_pressure,recovery_margin_need,"boundary_awareness, tension_pressure","[pressure_response_axis, recovery_adjustment_axis] + [recovery_margin_axis, boundary_scope_axis, emotional_load_axis]",recovery_margin_need: cross-family primary exception bounded by EL_INNER_WEIGHT source context; does not create independent recovery_pattern conclusion; boundary_awareness: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_medium,needs_review,source_bounded_cross_family_primary,non_clinical_emotional_load_boundary; no_therapy_or_wellness_prescription; no_work_family_duty_judgment; source_context_content_axis_required; privacy_routing_not_severity; sourceContextContentAxis_preserved; no_independent_cross_dimension_score; sensitivity_not_severity,"cross-family containment note added; reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q047,B,EL,EL_INNER_WEIGHT,scenario_pressure,option_overload,tension_pressure,"[pressure_response_axis] + [clarity_decision_axis, emotional_load_axis]",option_overload: cross-family primary exception bounded by EL_INNER_WEIGHT source context; does not create independent clarity_decision conclusion,1,L,private_medium,needs_review,source_bounded_cross_family_primary,non_clinical_emotional_load_boundary; source_context_content_axis_required; privacy_routing_not_severity; sourceContextContentAxis_preserved; no_independent_cross_dimension_score; sensitivity_not_severity,"cross-family containment note added; reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q047,C,EL,EL_INNER_WEIGHT,scenario_pressure,post_event_residue,"inner_weight_accumulation, tension_pressure",[pressure_response_axis] + [emotional_load_axis],"modifier_only: inner_weight_accumulation, tension_pressure",3,M,private_medium,needs_human_review_sensitive,native_source_contribution,non_clinical_emotional_load_boundary; privacy_routing_not_severity; sensitivity_not_severity; confidence_not_intensity,confidenceBand decoupled from signalStrength: H -> M
Q047,D,EL,EL_INNER_WEIGHT,scenario_pressure,continuation_by_marker,"small_start, tension_pressure","[pressure_response_axis] + [action_entry_axis, rhythm_structure_axis, emotional_load_axis]",continuation_by_marker: cross-family primary exception bounded by EL_INNER_WEIGHT source context; does not create independent action conclusion; small_start: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_medium,needs_review,source_bounded_cross_family_primary,non_clinical_emotional_load_boundary; source_context_content_axis_required; privacy_routing_not_severity; sourceContextContentAxis_preserved; no_independent_cross_dimension_score; sensitivity_not_severity,"cross-family containment note added; reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q047,E,EL,EL_INNER_WEIGHT,scenario_pressure,whole_picture_needed,"inner_weight_accumulation, tension_pressure","[pressure_response_axis] + [action_entry_axis, emotional_load_axis]",whole_picture_needed: cross-family primary exception bounded by EL_INNER_WEIGHT source context; does not create independent action conclusion,1,L,private_medium,needs_review,source_bounded_cross_family_primary,non_clinical_emotional_load_boundary; source_context_content_axis_required; privacy_routing_not_severity; sourceContextContentAxis_preserved; no_independent_cross_dimension_score; sensitivity_not_severity,"cross-family containment note added; reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q048,A,EL,EL_INNER_WEIGHT,social_contextual,social_load_residue,"inner_weight_accumulation, social_modulation","[social_context_modulation_axis] + [emotional_load_axis, social_distance_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_medium,needs_human_review_sensitive,modifier_only,non_clinical_emotional_load_boundary; no_reply_or_contact_advice; privacy_routing_not_severity; sensitivity_not_severity,unchanged
Q048,B,EL,EL_INNER_WEIGHT,social_contextual,social_start_support,"later_review, social_modulation","[social_context_modulation_axis, awareness_reflection_axis] + [action_entry_axis, awareness_reflection_axis, social_distance_axis, emotional_load_axis]",social_start_support: cross-family primary exception bounded by EL_INNER_WEIGHT source context; does not create independent action conclusion; later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion; social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_low,needs_review,source_bounded_cross_family_primary,no_reply_or_contact_advice; no_maturity_superiority_fixed_identity_or_compliance_framing; source_context_content_axis_required; sourceContextContentAxis_preserved; no_independent_cross_dimension_score,cross-family containment note added
Q048,C,EL,EL_INNER_WEIGHT,social_contextual,unclear_load,"inner_weight_accumulation, social_modulation","[social_context_modulation_axis] + [emotional_load_axis, social_distance_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_medium,needs_review,modifier_only,non_clinical_emotional_load_boundary; no_reply_or_contact_advice; privacy_routing_not_severity; sensitivity_not_severity,"reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q048,D,EL,EL_INNER_WEIGHT,social_contextual,boundary_awareness,"later_review, social_modulation","[social_context_modulation_axis, awareness_reflection_axis] + [boundary_scope_axis, awareness_reflection_axis, social_distance_axis, emotional_load_axis]",boundary_awareness: cross-family primary exception bounded by EL_INNER_WEIGHT source context; does not create independent boundary conclusion; later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion; social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_low,needs_review,source_bounded_cross_family_primary,no_reply_or_contact_advice; no_work_family_duty_judgment; no_maturity_superiority_fixed_identity_or_compliance_framing; source_context_content_axis_required; sourceContextContentAxis_preserved; no_independent_cross_dimension_score,cross-family containment note added
Q048,E,EL,EL_INNER_WEIGHT,social_contextual,post_event_residue,"social_modulation, inner_weight_accumulation, later_review","[social_context_modulation_axis, awareness_reflection_axis] + [emotional_load_axis, social_distance_axis, awareness_reflection_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion; later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_medium,needs_human_review_sensitive,modifier_only,non_clinical_emotional_load_boundary; no_reply_or_contact_advice; no_maturity_superiority_fixed_identity_or_compliance_framing; privacy_routing_not_severity; sensitivity_not_severity,unchanged
Q049,A,EL,EL_INNER_WEIGHT,recovery_adjustment,load_externalization,"inner_weight_accumulation, small_start, method_shift","[recovery_adjustment_axis] + [emotional_load_axis, rhythm_structure_axis, recovery_margin_axis]",small_start: cross-family auxiliary modifier; does not create independent subdimension conclusion; method_shift: cross-family auxiliary modifier; does not create independent subdimension conclusion,3,M,private_medium,needs_review,modifier_only,non_clinical_emotional_load_boundary; no_therapy_or_wellness_prescription; privacy_routing_not_severity; sensitivity_not_severity; confidence_not_intensity,"confidenceBand decoupled from signalStrength: H -> M; reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q049,B,EL,EL_INNER_WEIGHT,recovery_adjustment,returnable_distance,"social_modulation, method_shift","[recovery_adjustment_axis, social_context_modulation_axis] + [social_distance_axis, recovery_margin_axis, emotional_load_axis]",returnable_distance: cross-family primary exception bounded by EL_INNER_WEIGHT source context; does not create independent social_distance conclusion; social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion; method_shift: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_medium,needs_review,source_bounded_cross_family_primary,no_reply_or_contact_advice; no_therapy_or_wellness_prescription; source_context_content_axis_required; privacy_routing_not_severity; sourceContextContentAxis_preserved; no_independent_cross_dimension_score; sensitivity_not_severity,"cross-family containment note added; reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q049,C,EL,EL_INNER_WEIGHT,recovery_adjustment,reset_by_task,"small_start, boundary_awareness, method_shift","[recovery_adjustment_axis] + [recovery_margin_axis, rhythm_structure_axis, boundary_scope_axis, emotional_load_axis]",reset_by_task: cross-family primary exception bounded by EL_INNER_WEIGHT source context; does not create independent recovery_pattern conclusion; small_start: cross-family auxiliary modifier; does not create independent subdimension conclusion; boundary_awareness: cross-family auxiliary modifier; does not create independent subdimension conclusion; method_shift: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_low,needs_review,source_bounded_cross_family_primary,no_therapy_or_wellness_prescription; no_work_family_duty_judgment; source_context_content_axis_required; sourceContextContentAxis_preserved; no_independent_cross_dimension_score,cross-family containment note added
Q049,D,EL,EL_INNER_WEIGHT,recovery_adjustment,load_externalization,"social_modulation, method_shift","[recovery_adjustment_axis, social_context_modulation_axis] + [emotional_load_axis, social_distance_axis, recovery_margin_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion; method_shift: cross-family auxiliary modifier; does not create independent subdimension conclusion,3,M,private_medium,needs_review,modifier_only,non_clinical_emotional_load_boundary; no_reply_or_contact_advice; no_therapy_or_wellness_prescription; privacy_routing_not_severity; sensitivity_not_severity; confidence_not_intensity,"confidenceBand decoupled from signalStrength: H -> M; reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q049,E,EL,EL_INNER_WEIGHT,recovery_adjustment,recovery_margin_need,method_shift,"[recovery_adjustment_axis] + [recovery_margin_axis, emotional_load_axis]",recovery_margin_need: cross-family primary exception bounded by EL_INNER_WEIGHT source context; does not create independent recovery_pattern conclusion; method_shift: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,public_safe,needs_review,source_bounded_cross_family_primary,no_therapy_or_wellness_prescription; source_context_content_axis_required; sourceContextContentAxis_preserved; no_independent_cross_dimension_score,cross-family containment note added
Q050,A,EL,EL_INNER_WEIGHT,reflection_revisit,quiet_reset_need,"later_review, self_observation_strength","[awareness_reflection_axis] + [emotional_load_axis, awareness_reflection_axis]",later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion; self_observation_strength: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_medium,needs_review,modifier_only,non_clinical_emotional_load_boundary; no_therapy_or_wellness_prescription; no_maturity_superiority_fixed_identity_or_compliance_framing; privacy_routing_not_severity; sensitivity_not_severity,"reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q050,B,EL,EL_INNER_WEIGHT,reflection_revisit,state_notice,"inner_weight_accumulation, later_review, self_observation_strength","[awareness_reflection_axis] + [awareness_reflection_axis, emotional_load_axis]",state_notice: cross-family primary exception bounded by EL_INNER_WEIGHT source context; does not create independent self_observation conclusion; later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion; self_observation_strength: cross-family auxiliary modifier; does not create independent subdimension conclusion,0,L,private_medium,needs_review,source_bounded_cross_family_primary,non_clinical_emotional_load_boundary; no_maturity_superiority_fixed_identity_or_compliance_framing; source_context_content_axis_required; privacy_routing_not_severity; sourceContextContentAxis_preserved; no_independent_cross_dimension_score; sensitivity_not_severity; zero_not_negative_no_meaningful_source_axis_contribution,"signalStrength set to 0 for route-only / weak-context source contribution; cross-family containment note added; reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q050,C,EL,EL_INNER_WEIGHT,reflection_revisit,returnable_distance,"social_modulation, later_review, self_observation_strength","[awareness_reflection_axis, social_context_modulation_axis] + [social_distance_axis, awareness_reflection_axis, emotional_load_axis]",returnable_distance: cross-family primary exception bounded by EL_INNER_WEIGHT source context; does not create independent social_distance conclusion; social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion; later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion; self_observation_strength: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_medium,needs_review,source_bounded_cross_family_primary,no_reply_or_contact_advice; no_maturity_superiority_fixed_identity_or_compliance_framing; source_context_content_axis_required; privacy_routing_not_severity; sourceContextContentAxis_preserved; no_independent_cross_dimension_score; sensitivity_not_severity,"cross-family containment note added; reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q050,D,EL,EL_INNER_WEIGHT,reflection_revisit,load_externalization,"later_review, self_observation_strength","[awareness_reflection_axis] + [emotional_load_axis, awareness_reflection_axis]",later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion; self_observation_strength: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_medium,needs_review,modifier_only,non_clinical_emotional_load_boundary; no_maturity_superiority_fixed_identity_or_compliance_framing; privacy_routing_not_severity; sensitivity_not_severity,"reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q050,E,EL,EL_INNER_WEIGHT,reflection_revisit,delayed_notice,"later_review, self_observation_strength","[awareness_reflection_axis] + [awareness_reflection_axis, emotional_load_axis]",delayed_notice: cross-family primary exception bounded by EL_INNER_WEIGHT source context; does not create independent self_observation conclusion; later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion; self_observation_strength: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_low,needs_review,source_bounded_cross_family_primary,no_maturity_superiority_fixed_identity_or_compliance_framing; source_context_content_axis_required; sourceContextContentAxis_preserved; no_independent_cross_dimension_score,cross-family containment note added
Q051,A,EL,EL_TENSION,core_behavior,tension_pressure,"social_modulation, inner_weight_accumulation","[baseline_tendency_axis, social_context_modulation_axis] + [emotional_load_axis, social_distance_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,3,M,private_medium,needs_human_review_sensitive,modifier_only,non_clinical_emotional_load_boundary; no_reply_or_contact_advice; privacy_routing_not_severity; sensitivity_not_severity; confidence_not_intensity,confidenceBand decoupled from signalStrength: H -> M
Q051,B,EL,EL_TENSION,core_behavior,atmosphere_reading,"social_modulation, inner_weight_accumulation","[baseline_tendency_axis, social_context_modulation_axis] + [social_distance_axis, emotional_load_axis]",atmosphere_reading: cross-family primary exception bounded by EL_TENSION source context; does not create independent social_distance conclusion; social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_medium,needs_review,source_bounded_cross_family_primary,non_clinical_emotional_load_boundary; no_reply_or_contact_advice; source_context_content_axis_required; privacy_routing_not_severity; sourceContextContentAxis_preserved; no_independent_cross_dimension_score; sensitivity_not_severity,"cross-family containment note added; reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q051,C,EL,EL_TENSION,core_behavior,decision_pause,"social_modulation, inner_weight_accumulation","[baseline_tendency_axis, social_context_modulation_axis] + [clarity_decision_axis, social_distance_axis, emotional_load_axis]",decision_pause: cross-family primary exception bounded by EL_TENSION source context; does not create independent clarity_decision conclusion; social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,0,L,private_medium,needs_review,source_bounded_cross_family_primary,non_clinical_emotional_load_boundary; no_reply_or_contact_advice; source_context_content_axis_required; privacy_routing_not_severity; sourceContextContentAxis_preserved; no_independent_cross_dimension_score; sensitivity_not_severity; zero_not_negative_no_meaningful_source_axis_contribution,"signalStrength set to 0 for route-only / weak-context source contribution; cross-family containment note added; reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q051,D,EL,EL_TENSION,core_behavior,post_event_residue,inner_weight_accumulation,[baseline_tendency_axis] + [emotional_load_axis],modifier_only: inner_weight_accumulation,3,M,private_medium,needs_human_review_sensitive,native_source_contribution,non_clinical_emotional_load_boundary; privacy_routing_not_severity; sensitivity_not_severity; confidence_not_intensity,confidenceBand decoupled from signalStrength: H -> M
Q051,E,EL,EL_TENSION,core_behavior,delayed_notice,"inner_weight_accumulation, later_review","[baseline_tendency_axis, awareness_reflection_axis] + [awareness_reflection_axis, emotional_load_axis]",delayed_notice: cross-family primary exception bounded by EL_TENSION source context; does not create independent self_observation conclusion; later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_medium,needs_review,source_bounded_cross_family_primary,non_clinical_emotional_load_boundary; no_maturity_superiority_fixed_identity_or_compliance_framing; source_context_content_axis_required; privacy_routing_not_severity; sourceContextContentAxis_preserved; no_independent_cross_dimension_score; sensitivity_not_severity,"cross-family containment note added; reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q052,A,EL,EL_TENSION,scenario_pressure,atmosphere_reading,"social_modulation, inner_weight_accumulation, quiet_reset_need, tension_pressure","[pressure_response_axis, social_context_modulation_axis] + [social_distance_axis, emotional_load_axis]",atmosphere_reading: cross-family primary exception bounded by EL_TENSION source context; does not create independent social_distance conclusion; social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_medium,needs_review,source_bounded_cross_family_primary,non_clinical_emotional_load_boundary; no_reply_or_contact_advice; no_therapy_or_wellness_prescription; source_context_content_axis_required; privacy_routing_not_severity; sourceContextContentAxis_preserved; no_independent_cross_dimension_score; sensitivity_not_severity,"cross-family containment note added; reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q052,B,EL,EL_TENSION,scenario_pressure,tension_pressure,inner_weight_accumulation,[pressure_response_axis] + [emotional_load_axis],modifier_only: inner_weight_accumulation,3,H,private_medium,needs_human_review_sensitive,native_source_contribution,non_clinical_emotional_load_boundary; privacy_routing_not_severity; sensitivity_not_severity,unchanged
Q052,C,EL,EL_TENSION,scenario_pressure,social_load_residue,"social_modulation, inner_weight_accumulation, tension_pressure","[pressure_response_axis, social_context_modulation_axis] + [emotional_load_axis, social_distance_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,3,M,private_medium,needs_human_review_sensitive,modifier_only,non_clinical_emotional_load_boundary; no_reply_or_contact_advice; privacy_routing_not_severity; sensitivity_not_severity; confidence_not_intensity,confidenceBand decoupled from signalStrength: H -> M
Q052,D,EL,EL_TENSION,scenario_pressure,response_pause,"inner_weight_accumulation, tension_pressure","[pressure_response_axis] + [boundary_scope_axis, emotional_load_axis]",response_pause: cross-family primary exception bounded by EL_TENSION source context; does not create independent boundary conclusion,0,L,private_medium,needs_review,source_bounded_cross_family_primary,non_clinical_emotional_load_boundary; source_context_content_axis_required; privacy_routing_not_severity; sourceContextContentAxis_preserved; no_independent_cross_dimension_score; sensitivity_not_severity; zero_not_negative_no_meaningful_source_axis_contribution,"signalStrength set to 0 for route-only / weak-context source contribution; cross-family containment note added; reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q052,E,EL,EL_TENSION,scenario_pressure,post_event_residue,"inner_weight_accumulation, later_review, tension_pressure","[pressure_response_axis, awareness_reflection_axis] + [emotional_load_axis, awareness_reflection_axis]",later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion,3,M,private_medium,needs_human_review_sensitive,modifier_only,non_clinical_emotional_load_boundary; no_maturity_superiority_fixed_identity_or_compliance_framing; privacy_routing_not_severity; sensitivity_not_severity; confidence_not_intensity,confidenceBand decoupled from signalStrength: H -> M
Q053,A,EL,EL_TENSION,social_contextual,atmosphere_reading,social_modulation,"[social_context_modulation_axis] + [social_distance_axis, emotional_load_axis]",atmosphere_reading: cross-family primary exception bounded by EL_TENSION source context; does not create independent social_distance conclusion; social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_low,needs_review,source_bounded_cross_family_primary,no_reply_or_contact_advice; source_context_content_axis_required; sourceContextContentAxis_preserved; no_independent_cross_dimension_score,cross-family containment note added
Q053,B,EL,EL_TENSION,social_contextual,tension_pressure,"inner_weight_accumulation, social_modulation","[social_context_modulation_axis] + [emotional_load_axis, social_distance_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_medium,needs_human_review_sensitive,modifier_only,non_clinical_emotional_load_boundary; no_reply_or_contact_advice; privacy_routing_not_severity; sensitivity_not_severity,unchanged
Q053,C,EL,EL_TENSION,social_contextual,social_modulation,none,"[social_context_modulation_axis] + [social_distance_axis, emotional_load_axis]",social_modulation: cross-family primary exception bounded by EL_TENSION source context; does not create independent social_distance conclusion,1,L,private_low,needs_review,source_bounded_cross_family_primary,no_reply_or_contact_advice; source_context_content_axis_required; sourceContextContentAxis_preserved; no_independent_cross_dimension_score,cross-family containment note added
Q053,D,EL,EL_TENSION,social_contextual,quiet_reset_need,"social_modulation, returnable_distance, later_review","[social_context_modulation_axis, awareness_reflection_axis] + [emotional_load_axis, social_distance_axis, awareness_reflection_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion; returnable_distance: cross-family auxiliary modifier; does not create independent subdimension conclusion; later_review: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_medium,needs_review,modifier_only,non_clinical_emotional_load_boundary; no_reply_or_contact_advice; no_therapy_or_wellness_prescription; no_maturity_superiority_fixed_identity_or_compliance_framing; privacy_routing_not_severity; sensitivity_not_severity,"reviewRouting recalibrated: needs_human_review_sensitive -> needs_review; routing is privacy review, not score"
Q053,E,EL,EL_TENSION,social_contextual,later_review,social_modulation,"[social_context_modulation_axis, awareness_reflection_axis] + [awareness_reflection_axis, social_distance_axis, emotional_load_axis]",later_review: cross-family primary exception bounded by EL_TENSION source context; does not create independent self_observation conclusion; social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,0,L,private_low,needs_review,source_bounded_cross_family_primary,no_reply_or_contact_advice; no_maturity_superiority_fixed_identity_or_compliance_framing; source_context_content_axis_required; sourceContextContentAxis_preserved; no_independent_cross_dimension_score; zero_not_negative_no_meaningful_source_axis_contribution,signalStrength set to 0 for route-only / weak-context source contribution; cross-family containment note added
Q054,A,EL,EL_TENSION,recovery_adjustment,transition_buffer,method_shift,"[recovery_adjustment_axis] + [rhythm_structure_axis, recovery_margin_axis, emotional_load_axis]",transition_buffer: cross-family primary exception bounded by EL_TENSION source context; does not create independent rhythm_daily_flow conclusion; method_shift: cross-family auxiliary modifier; does not create independent subdimension conclusion,0,L,public_safe,needs_review,source_bounded_cross_family_primary,no_therapy_or_wellness_prescription; source_context_content_axis_required; sourceContextContentAxis_preserved; no_independent_cross_dimension_score; zero_not_negative_no_meaningful_source_axis_contribution,"signalStrength set to 0 for route-only / weak-context source contribution; cross-family containment note added; reviewRouting recalibrated: none -> needs_review; routing is privacy review, not score"
Q054,B,EL,EL_TENSION,recovery_adjustment,recovery_margin_need,"small_start, boundary_awareness, method_shift","[recovery_adjustment_axis] + [recovery_margin_axis, rhythm_structure_axis, boundary_scope_axis, emotional_load_axis]",recovery_margin_need: cross-family primary exception bounded by EL_TENSION source context; does not create independent recovery_pattern conclusion; small_start: cross-family auxiliary modifier; does not create independent subdimension conclusion; boundary_awareness: cross-family auxiliary modifier; does not create independent subdimension conclusion; method_shift: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_low,needs_review,source_bounded_cross_family_primary,no_therapy_or_wellness_prescription; no_work_family_duty_judgment; source_context_content_axis_required; sourceContextContentAxis_preserved; no_independent_cross_dimension_score,cross-family containment note added
Q054,C,EL,EL_TENSION,recovery_adjustment,reset_by_place,"social_modulation, method_shift","[recovery_adjustment_axis, social_context_modulation_axis] + [recovery_margin_axis, social_distance_axis, emotional_load_axis]",reset_by_place: cross-family primary exception bounded by EL_TENSION source context; does not create independent recovery_pattern conclusion; social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion; method_shift: cross-family auxiliary modifier; does not create independent subdimension conclusion,1,L,private_low,needs_review,source_bounded_cross_family_primary,no_reply_or_contact_advice; no_therapy_or_wellness_prescription; source_context_content_axis_required; sourceContextContentAxis_preserved; no_independent_cross_dimension_score,cross-family containment note added
